Hotel name,Hotel url,Number of reviews,Tripadvisor rating,Rating regarding other hotels in the same city,Location rating,Cleanliness rating,Service rating,Value of money,Paid private parking nearby,Free high speed wifi,Fitness_center,Air conditioning,Minibar,Cable satellite TV,24-hour front desk,Non-smoking hotel,Express check-in / check-out,Baggage storage,Housekeeping,Safe,Family rooms,Count good words,Count bad words,Count total words,Great for walkers,Number of restaurants,Num of attractions
Motto by Hilton New York City Chelsea,https://www.tripadvisor.com/Hotel_Review-g60763-d23448880-Reviews-Motto_by_Hilton_New_York_City_Chelsea-New_York_City_New_York.html,508,5.0,4,97.94117999999999,4.9,96.09756000000002,4.8,1,1,1,0,0,1,0,1,1,0,1,0,0,9,0,9,100,329,97
Hard Rock Hotel New York,https://www.tripadvisor.com/Hotel_Review-g60763-d23627300-Reviews-Hard_Rock_Hotel_New_York-New_York_City_New_York.html,568,4.5,4,100,5.0,98,4.9,1,0,0,0,0,1,1,0,1,1,1,0,0,9,4,5,100,460,259
Margaritaville Resort Times Square,https://www.tripadvisor.com/Hotel_Review-g60763-d23462501-Reviews-Margaritaville_Resort_Times_Square-New_York_City_New_York.html,519,5.0,4,98.33332999999999,4.9,98.84057999999999,4.9,0,0,1,1,0,1,1,0,0,1,1,1,0,7,0,7,100,512,193
Hotel Riu Plaza Manhattan Times Square,https://www.tripadvisor.com/Hotel_Review-g60763-d23124360-Reviews-Hotel_Riu_Plaza_Manhattan_Times_Square-New_York_City_New_York.html,353,4.5,4,98.315792,4.9,97.54011200000001,4.9,0,0,1,0,0,1,1,0,0,0,1,1,1,4,0,4,100,464,254
Moxy NYC Times Square,https://www.tripadvisor.com/Hotel_Review-g60763-d12301470-Reviews-Moxy_NYC_Times_Square-New_York_City_New_York.html,"2,587",4.0,4,96.019068,4.8,91.885148,4.6,0,0,1,1,0,1,1,1,1,1,1,1,0,7,1,6,100,513,137
The Plaza New York - A Fairmont Managed Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d675616-Reviews-The_Plaza_New_York_A_Fairmont_Managed_Hotel-New_York_City_New_York.html,"3,538",4.5,4,97.47244800000001,4.9,92.61851999999999,4.6,0,0,1,1,1,1,1,1,0,1,1,1,1,3,0,3,100,224,96
Arlo Midtown,https://www.tripadvisor.com/Hotel_Review-g60763-d23036108-Reviews-Arlo_Midtown-New_York_City_New_York.html,665,4.5,4,93.93939,4.7,96.326532,4.8,1,1,1,1,0,0,1,1,1,0,0,1,1,16,2,14,100,311,99
Park Central Hotel New York,https://www.tripadvisor.com/Hotel_Review-g60763-d93520-Reviews-Park_Central_Hotel_New_York-New_York_City_New_York.html,"7,998",4.0,4,95.35798,4.8,84.10570999999999,4.2,0,0,1,1,0,0,1,1,0,1,1,1,0,6,1,5,100,389,110
Hotel Riu Plaza New York Times Square,https://www.tripadvisor.com/Hotel_Review-g60763-d8515751-Reviews-Hotel_Riu_Plaza_New_York_Times_Square-New_York_City_New_York.html,"5,539",4.5,4,97.629966,4.9,92.23993999999999,4.6,0,0,1,1,0,0,1,1,0,1,1,1,1,8,1,7,100,487,242
Pod 51 Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d93358-Reviews-Pod_51_Hotel-New_York_City_New_York.html,"5,903",4.0,4,90.82332,4.5,87.534886,4.4,1,1,0,1,0,0,1,1,0,1,1,1,0,11,1,10,100,325,45
Arlo NoMad,https://www.tripadvisor.com/Hotel_Review-g60763-d10541730-Reviews-Arlo_NoMad-New_York_City_New_York.html,"2,118",4.5,4,95.93123399999999,4.8,96.30682,4.8,0,1,0,1,0,0,1,1,1,1,1,1,0,7,0,7,100,426,106
Arlo SoHo,https://www.tripadvisor.com/Hotel_Review-g60763-d7891458-Reviews-Arlo_SoHo-New_York_City_New_York.html,"2,420",4.5,4,92.2973,4.6,95.73696,4.8,0,1,0,1,0,0,1,1,0,1,1,1,0,8,0,8,100,152,41
The Lucerne Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d99281-Reviews-The_Lucerne_Hotel-New_York_City_New_York.html,"2,973",4.5,4,94.22140999999999,4.7,93.2052,4.7,1,1,1,1,0,0,1,1,0,1,1,1,0,4,0,4,100,155,40
PUBLIC Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d12533513-Reviews-PUBLIC_Hotel-New_York_City_New_York.html,"1,254",4.5,4,93.452912,4.7,93.134326,4.7,0,1,1,1,0,0,1,1,0,1,1,1,0,9,1,8,100,408,214
Pod Times Square,https://www.tripadvisor.com/Hotel_Review-g60763-d12551350-Reviews-Pod_Times_Square-New_York_City_New_York.html,"1,893",4.0,4,94.364472,4.7,87.716532,4.4,0,1,0,1,0,0,1,1,0,1,1,1,0,7,0,7,100,355,125
"Crowne Plaza Times Square Manhattan, an IHG Hotel",https://www.tripadvisor.com/Hotel_Review-g60763-d93454-Reviews-Crowne_Plaza_Times_Square_Manhattan_an_IHG_Hotel-New_York_City_New_York.html,"12,033",4.0,4,96.99873,4.8,87.05346,4.4,0,0,0,1,0,0,1,1,1,1,1,1,1,4,3,1,100,507,238
Hotel Edison,https://www.tripadvisor.com/Hotel_Review-g60763-d93437-Reviews-Hotel_Edison-New_York_City_New_York.html,"14,198",4.0,4,96.94578,4.8,78.372592,3.9,0,0,1,0,0,0,1,1,1,1,1,1,0,10,8,2,100,500,248
The Herald Powered By LuxUrban,https://www.tripadvisor.com/Hotel_Review-g60763-d4053479-Reviews-The_Herald_Powered_By_LuxUrban-New_York_City_New_York.html,990,4.5,4,96.14973,4.8,92.31638000000001,4.6,0,0,1,0,0,0,1,1,0,1,1,1,0,4,0,4,100,491,125
Paramount Hotel Times Square,https://www.tripadvisor.com/Hotel_Review-g60763-d93517-Reviews-Paramount_Hotel_Times_Square-New_York_City_New_York.html,"1,739",3.5,4,92.555552,4.6,73.748608,3.7,0,0,1,1,0,1,1,1,0,1,1,1,0,6,7,-1,100,501,241
Hampton Inn Manhattan / Times Square Central,https://www.tripadvisor.com/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York.html,"3,489",4.5,4,97.08332999999999,4.9,92.68102,4.6,1,1,1,1,0,0,1,1,1,1,1,1,0,10,2,8,100,524,204
Hilton Garden Inn Times Square,https://www.tripadvisor.com/Hotel_Review-g60763-d99352-Reviews-Hilton_Garden_Inn_Times_Square-New_York_City_New_York.html,"9,044",4.5,4,96.27994,4.8,91.266394,4.6,0,1,1,1,0,0,1,1,1,1,1,1,1,9,2,7,100,501,224
New York Hilton Midtown,https://www.tripadvisor.com/Hotel_Review-g60763-d611947-Reviews-New_York_Hilton_Midtown-New_York_City_New_York.html,"14,012",3.5,4,93.86520000000002,4.7,80.38546600000001,4.0,0,0,1,1,0,0,1,1,1,1,1,1,0,6,5,1,100,410,140
Warwick New York,https://www.tripadvisor.com/Hotel_Review-g60763-d112064-Reviews-Warwick_New_York-New_York_City_New_York.html,"5,328",4.5,4,96.943646,4.8,90.20251200000001,4.5,0,0,1,1,1,0,1,1,0,1,1,1,0,10,1,9,100,360,114
The Manhattan at Times Square Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d93545-Reviews-The_Manhattan_at_Times_Square_Hotel-New_York_City_New_York.html,"12,114",3.5,4,94.503308,4.7,68.644414,3.4,1,0,1,0,0,0,1,1,0,1,1,1,1,7,16,-9,100,455,175
Millennium Downtown New York,https://www.tripadvisor.com/Hotel_Review-g60763-d262330-Reviews-Millennium_Downtown_New_York-New_York_City_New_York.html,"6,180",4.0,4,89.99463,4.5,83.938466,4.2,1,0,1,1,0,0,1,1,0,1,1,1,0,10,5,5,100,312,97
Hilton Garden Inn New York Times Square South,https://www.tripadvisor.com/Hotel_Review-g60763-d12199886-Reviews-Hilton_Garden_Inn_New_York_Times_Square_South-New_York_City_New_York.html,783,4.5,4,91.2336,4.6,91.76470800000001,4.6,1,1,1,1,0,1,1,1,1,1,1,1,0,5,0,5,100,368,99
YOTEL New York Times Square,https://www.tripadvisor.com/Hotel_Review-g60763-d2079052-Reviews-YOTEL_New_York_Times_Square-New_York_City_New_York.html,"14,401",4.0,4,89.11952,4.5,87.52164,4.4,0,1,1,1,0,0,1,1,1,1,1,1,1,9,4,5,100,220,57
World Center Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d1553789-Reviews-World_Center_Hotel-New_York_City_New_York.html,"1,485",4.5,4,90.08772,4.5,91.382828,4.6,0,1,1,1,0,0,1,1,1,1,1,1,1,8,5,3,100,176,62
DoubleTree by Hilton Hotel New York Times Square West,https://www.tripadvisor.com/Hotel_Review-g60763-d11236004-Reviews-DoubleTree_by_Hilton_Hotel_New_York_Times_Square_West-New_York_City_New_York.html,"3,071",3.5,4,83.18302,4.2,76.85637,3.8,1,0,1,1,0,1,1,1,0,1,1,1,0,18,7,11,100,356,133
The Gallivant Times Square,https://www.tripadvisor.com/Hotel_Review-g60763-d75711-Reviews-The_Gallivant_Times_Square-New_York_City_New_York.html,"3,280",3.5,4,94.018344,4.7,75.344014,3.8,0,1,0,1,0,0,1,1,0,0,1,1,0,12,14,-2,100,513,239
Moxy NYC East Village,https://www.tripadvisor.com/Hotel_Review-g60763-d17783246-Reviews-Moxy_NYC_East_Village-New_York_City_New_York.html,742,4.5,4,96.54676,4.8,97.017546,4.9,1,1,1,1,0,1,1,1,1,1,0,1,0,12,0,12,100,346,102
Ace Hotel New York,https://www.tripadvisor.com/Hotel_Review-g60763-d1201072-Reviews-Ace_Hotel_New_York-New_York_City_New_York.html,"2,307",4.5,4,88.47428000000001,4.4,90.04095,4.5,0,1,1,1,1,0,1,1,0,1,0,1,0,7,2,5,100,404,117
"Homewood Suites by Hilton New York/Midtown Manhattan Times Square-South, NY",https://www.tripadvisor.com/Hotel_Review-g60763-d5040757-Reviews-Homewood_Suites_by_Hilton_New_York_Midtown_Manhattan_Times_Square_South_NY-New_York_Cit.html,"4,169",4.5,4,92.215434,4.6,91.922226,4.6,0,1,1,1,0,0,1,1,1,1,1,1,1,13,1,12,100,377,100
"The New Yorker, A Wyndham Hotel",https://www.tripadvisor.com/Hotel_Review-g60763-d122005-Reviews-The_New_Yorker_A_Wyndham_Hotel-New_York_City_New_York.html,"15,565",4.0,4,94.012126,4.7,83.66372,4.2,0,0,1,1,0,0,1,1,1,1,1,1,0,6,0,6,100,397,87
"The Draper, Ascend Hotel Collection",https://www.tripadvisor.com/Hotel_Review-g60763-d20021058-Reviews-The_Draper_Ascend_Hotel_Collection-New_York_City_New_York.html,449,4.5,4,92.65306000000001,4.6,90.625,4.5,0,1,0,1,0,1,1,0,1,0,0,1,0,5,1,4,100,446,122
"Crowne Plaza Hy36 Midtown Manhattan, an IHG Hotel",https://www.tripadvisor.com/Hotel_Review-g60763-d11854022-Reviews-Crowne_Plaza_Hy36_Midtown_Manhattan_an_IHG_Hotel-New_York_City_New_York.html,"1,236",4.5,4,92.701426,4.6,95.960588,4.8,0,1,1,1,1,1,1,1,0,1,1,1,0,8,2,6,100,360,75
Conrad New York Downtown,https://www.tripadvisor.com/Hotel_Review-g60763-d208452-Reviews-Conrad_New_York_Downtown-New_York_City_New_York.html,"4,547",4.5,4,90.13040000000001,4.5,96.74080000000001,4.8,0,1,1,1,1,0,1,1,0,1,1,1,1,7,1,6,100,76,26
Hyatt Centric Times Square New York,https://www.tripadvisor.com/Hotel_Review-g60763-d4799063-Reviews-Hyatt_Centric_Times_Square_New_York-New_York_City_New_York.html,"6,382",4.5,4,96.72577000000001,4.8,94.00716,4.7,0,1,1,1,0,1,1,1,1,1,1,1,0,5,6,-1,100,479,284
The Dominick Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d1456416-Reviews-The_Dominick_Hotel-New_York_City_New_York.html,"4,204",4.5,4,93.89580799999999,4.7,95.28498,4.8,0,1,1,1,1,1,1,1,1,1,1,1,0,3,0,3,100,234,100
The Knickerbocker,https://www.tripadvisor.com/Hotel_Review-g60763-d7255276-Reviews-The_Knickerbocker-New_York_City_New_York.html,"6,415",4.5,4,97.191228,4.9,95.13871999999999,4.8,0,1,1,1,0,1,1,1,0,1,1,1,0,8,3,5,100,507,218
Hyatt Grand Central New York,https://www.tripadvisor.com/Hotel_Review-g60763-d93450-Reviews-Hyatt_Grand_Central_New_York-New_York_City_New_York.html,"12,507",3.5,4,93.23648,4.7,77.12006,3.9,0,1,1,1,0,0,1,1,1,0,1,1,0,3,5,-2,100,353,78
Lotte New York Palace,https://www.tripadvisor.com/Hotel_Review-g60763-d126260-Reviews-Lotte_New_York_Palace-New_York_City_New_York.html,"5,997",4.5,4,97.564048,4.9,93.166246,4.7,0,0,1,1,0,0,1,1,0,1,1,1,0,6,2,4,100,340,115
Embassy Suites by Hilton New York Manhattan Times Square,https://www.tripadvisor.com/Hotel_Review-g60763-d11998087-Reviews-Embassy_Suites_by_Hilton_New_York_Manhattan_Times_Square-New_York_City_New_York.html,"1,218",4.0,4,91.88570999999999,4.6,83.585654,4.2,1,1,1,1,0,0,1,1,0,1,1,1,1,8,0,8,100,508,139
New York Marriott Marquis,https://www.tripadvisor.com/Hotel_Review-g60763-d93507-Reviews-New_York_Marriott_Marquis-New_York_City_New_York.html,"13,374",4.0,4,96.857652,4.8,87.93908,4.4,1,0,1,1,0,1,1,1,1,1,1,1,0,9,0,9,100,481,257
Pod 39 Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d3235844-Reviews-Pod_39_Hotel-New_York_City_New_York.html,"4,431",4.0,4,92.48434,4.6,91.67518,4.6,0,1,0,1,0,1,1,1,0,1,1,1,0,9,0,9,100,311,57
Mondrian Park Avenue,https://www.tripadvisor.com/Hotel_Review-g60763-d12845266-Reviews-Mondrian_Park_Avenue-New_York_City_New_York.html,863,4.0,4,91.026612,4.6,88.84461999999999,4.4,0,1,0,1,1,0,1,1,0,1,0,1,1,2,0,2,100,411,71
Carnegie Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d10533358-Reviews-Carnegie_Hotel-New_York_City_New_York.html,288,4.5,4,98.148146,4.9,95.41667000000001,4.8,0,1,0,1,0,0,1,1,0,1,1,1,0,8,0,8,100,393,97
Artezen Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d15237449-Reviews-Artezen_Hotel-New_York_City_New_York.html,418,5.0,4,98.611106,4.9,98.33332999999999,4.9,1,1,1,1,0,1,1,1,1,1,1,1,0,16,0,16,100,345,91
Hotel Belleclaire,https://www.tripadvisor.com/Hotel_Review-g60763-d93390-Reviews-Hotel_Belleclaire-New_York_City_New_York.html,"4,492",4.0,4,91.63636,4.6,85.69209000000001,4.3,1,1,1,1,1,0,1,1,1,0,0,0,0,18,1,17,100,126,36
Best Western Premier Herald Square,https://www.tripadvisor.com/Hotel_Review-g60763-d3973287-Reviews-Best_Western_Premier_Herald_Square-New_York_City_New_York.html,"2,809",4.5,4,95.82864799999999,4.8,91.925288,4.6,0,1,1,1,0,0,1,1,1,1,1,1,0,5,0,5,100,490,129
The Empire Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d671150-Reviews-The_Empire_Hotel-New_York_City_New_York.html,"8,579",3.5,4,93.39208599999999,4.7,80.48818600000001,4.0,0,0,1,1,0,1,1,1,1,1,1,1,0,16,4,12,100,98,73
Millennium Hotel Broadway Times Square,https://www.tripadvisor.com/Hotel_Review-g60763-d93486-Reviews-Millennium_Hotel_Broadway_Times_Square-New_York_City_New_York.html,"7,304",3.5,4,95.301074,4.8,74.773608,3.7,0,0,1,1,0,0,1,1,0,1,1,1,0,8,2,6,100,495,259
Sofitel New York,https://www.tripadvisor.com/Hotel_Review-g60763-d208454-Reviews-Sofitel_New_York-New_York_City_New_York.html,"7,757",4.5,4,96.3015,4.8,93.79096000000001,4.7,0,1,1,1,1,1,1,1,1,1,1,1,0,8,6,2,100,437,199
The Muse New York,https://www.tripadvisor.com/Hotel_Review-g60763-d217616-Reviews-The_Muse_New_York-New_York_City_New_York.html,"3,736",4.5,4,95.76032599999999,4.8,92.66391999999999,4.6,0,0,1,1,1,1,1,1,1,1,1,1,0,7,2,5,100,464,277
Sanctuary Hotel New York,https://www.tripadvisor.com/Hotel_Review-g60763-d93525-Reviews-Sanctuary_Hotel_New_York-New_York_City_New_York.html,"4,754",4.5,4,97.917328,4.9,94.627208,4.7,0,1,1,1,1,1,1,1,0,1,1,1,0,6,1,5,100,446,266
The Leon Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d6555841-Reviews-The_Leon_Hotel-New_York_City_New_York.html,481,4.5,4,84.66666000000001,4.2,91.78082,4.6,0,1,0,1,0,0,1,1,0,1,1,1,0,16,5,11,100,369,66
Hampton Inn Manhattan-Times Square North,https://www.tripadvisor.com/Hotel_Review-g60763-d93457-Reviews-Hampton_Inn_Manhattan_Times_Square_North-New_York_City_New_York.html,"6,955",4.5,4,95.6899,4.8,89.605446,4.5,1,1,1,1,0,0,1,1,1,1,1,1,1,7,0,7,100,492,150
West Side YMCA,https://www.tripadvisor.com/Hotel_Review-g60763-d93627-Reviews-West_Side_YMCA-New_York_City_New_York.html,"1,602",3.0,4,93.223772,4.7,61.123056,3.1,0,0,1,1,0,0,1,1,0,1,1,1,0,7,1,6,100,88,77
"Martinique New York on Broadway, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g60763-d99425-Reviews-Martinique_New_York_on_Broadway_Curio_Collection_by_Hilton-New_York_City_New_York.html,98,4.0,4,92.2449,4.6,87.90698,4.4,0,0,1,1,0,1,1,1,1,1,1,1,1,5,2,3,100,485,124
Freehand New York,https://www.tripadvisor.com/Hotel_Review-g60763-d12934485-Reviews-Freehand_New_York-New_York_City_New_York.html,479,4.0,4,91.478872,4.6,87.97202999999999,4.4,0,1,1,1,0,0,1,1,0,1,1,1,1,11,5,6,100,295,57
"The Standard, High Line",https://www.tripadvisor.com/Hotel_Review-g60763-d1218720-Reviews-The_Standard_High_Line-New_York_City_New_York.html,"5,525",4.5,4,94.46921400000001,4.7,89.64546,4.5,0,1,1,1,1,0,1,1,0,1,1,1,0,6,1,5,100,162,55
The Wallace,https://www.tripadvisor.com/Hotel_Review-g60763-d121987-Reviews-The_Wallace-New_York_City_New_York.html,319,5.0,4,98.271608,4.9,99.41666599999999,5.0,1,1,1,1,0,1,1,1,0,1,1,0,1,11,0,11,100,125,37
Park Lane Hotel NY,https://www.tripadvisor.com/Hotel_Review-g60763-d93579-Reviews-Park_Lane_Hotel_NY-New_York_City_New_York.html,178,4.5,4,97.97100999999999,4.9,89.230766,4.5,0,0,1,1,0,0,1,1,0,0,1,1,0,6,2,4,100,216,84
InterContinental New York Times Square,https://www.tripadvisor.com/Hotel_Review-g60763-d1646128-Reviews-InterContinental_New_York_Times_Square-New_York_City_New_York.html,"7,514",4.0,4,95.15183999999999,4.8,91.51938,4.6,0,0,1,1,1,0,1,1,0,1,1,1,0,12,1,11,100,490,229
M Social Hotel Times Square New York,https://www.tripadvisor.com/Hotel_Review-g60763-d23155544-Reviews-M_Social_Hotel_Times_Square_New_York-New_York_City_New_York.html,447,4.0,4,96.74208,4.8,89.181814,4.5,0,1,1,1,0,1,1,1,1,1,1,1,1,16,2,14,100,468,156
Moxy NYC Chelsea,https://www.tripadvisor.com/Hotel_Review-g60763-d14149815-Reviews-Moxy_NYC_Chelsea-New_York_City_New_York.html,913,4.5,4,96.24521200000001,4.8,97.427388,4.9,1,0,1,1,0,1,1,1,1,1,0,1,0,4,0,4,100,376,119
Pendry Manhattan West,https://www.tripadvisor.com/Hotel_Review-g60763-d23528665-Reviews-Pendry_Manhattan_West-New_York_City_New_York.html,239,5.0,4,97.24137999999999,4.9,99.45578599999999,5.0,1,1,1,1,1,1,1,1,0,1,1,1,1,4,0,4,100,151,31
Mint House at 70 Pine,https://www.tripadvisor.com/Hotel_Review-g60763-d8501479-Reviews-Mint_House_at_70_Pine-New_York_City_New_York.html,"1,132",5.0,4,94.36046599999999,4.7,96.33802,4.8,0,1,1,1,0,1,1,1,1,1,1,1,0,5,2,3,100,328,70
Courtyard by Marriott New York Manhattan / Midtown East,https://www.tripadvisor.com/Hotel_Review-g60763-d99371-Reviews-Courtyard_by_Marriott_New_York_Manhattan_Midtown_East-New_York_City_New_York.html,"2,935",4.5,4,92.30567,4.6,91.228294,4.6,0,1,1,1,0,1,1,1,1,1,1,1,1,6,1,5,100,374,55
Hotel NH Collection New York Madison Avenue,https://www.tripadvisor.com/Hotel_Review-g60763-d93470-Reviews-Hotel_NH_Collection_New_York_Madison_Avenue-New_York_City_New_York.html,171,4.5,4,94.54544999999999,4.7,91.929826,4.6,0,0,1,1,0,0,1,1,0,1,1,1,0,3,0,3,100,386,95
Millennium Premier New York Times Square,https://www.tripadvisor.com/Hotel_Review-g60763-d249656-Reviews-Millennium_Premier_New_York_Times_Square-New_York_City_New_York.html,"1,457",4.0,4,96.71127999999999,4.8,87.077532,4.4,0,1,1,1,0,0,1,1,0,1,0,1,0,6,0,6,100,480,259
Refinery Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d3344640-Reviews-Refinery_Hotel-New_York_City_New_York.html,"5,865",4.5,4,95.62787999999999,4.8,95.00935999999999,4.8,1,1,1,1,1,1,1,1,0,1,1,1,0,8,0,8,100,453,138
CIVILIAN Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d23697368-Reviews-CIVILIAN_Hotel-New_York_City_New_York.html,177,4.5,4,91.42858000000001,4.6,91.25,4.6,1,0,1,0,0,1,1,0,1,0,0,1,0,10,0,10,100,482,220
Belvedere Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d93569-Reviews-Belvedere_Hotel-New_York_City_New_York.html,"6,390",4.0,4,94.914132,4.7,86.589594,4.3,0,0,1,1,0,1,1,1,0,1,1,1,0,12,1,11,100,484,211
The Shelburne Sonesta New York,https://www.tripadvisor.com/Hotel_Review-g60763-d93543-Reviews-The_Shelburne_Sonesta_New_York-New_York_City_New_York.html,"5,745",4.5,4,91.42442000000001,4.6,89.14022,4.5,0,0,1,1,0,0,1,1,0,1,1,1,0,4,2,2,100,316,50
Royalton Park Avenue,https://www.tripadvisor.com/Hotel_Review-g60763-d1456411-Reviews-Royalton_Park_Avenue-New_York_City_New_York.html,"3,277",4.5,4,91.56673400000001,4.6,92.57038,4.6,0,0,1,1,1,1,1,1,1,1,0,1,0,8,1,7,100,437,73
The Ludlow New York City,https://www.tripadvisor.com/Hotel_Review-g60763-d6727310-Reviews-The_Ludlow_New_York_City-New_York_City_New_York.html,"1,014",4.5,4,92.335768,4.6,94.32000000000001,4.7,1,1,1,1,1,0,1,0,0,1,1,1,0,3,0,3,100,356,124
Hotel Beacon,https://www.tripadvisor.com/Hotel_Review-g60763-d93338-Reviews-Hotel_Beacon-New_York_City_New_York.html,"5,347",4.5,4,95.804672,4.8,92.750512,4.6,1,1,1,1,0,0,1,1,0,1,1,1,0,20,0,20,100,159,46
Hilton Garden Inn New York/West 35th Street,https://www.tripadvisor.com/Hotel_Review-g60763-d1218792-Reviews-Hilton_Garden_Inn_New_York_West_35th_Street-New_York_City_New_York.html,"6,280",4.5,4,95.90608,4.8,92.975274,4.6,0,1,1,1,0,0,1,1,1,1,0,1,0,12,7,5,100,487,121
"EVEN Hotel New York - Times Square South, an IHG Hotel",https://www.tripadvisor.com/Hotel_Review-g60763-d7778097-Reviews-EVEN_Hotel_New_York_Times_Square_South_an_IHG_Hotel-New_York_City_New_York.html,"1,651",4.5,4,95.71427999999999,4.8,97.6506,4.9,0,1,1,1,0,1,1,1,1,1,1,1,1,9,0,9,100,362,71
Radisson Hotel New York Wall Street,https://www.tripadvisor.com/Hotel_Review-g60763-d217623-Reviews-Radisson_Hotel_New_York_Wall_Street-New_York_City_New_York.html,"2,550",4.0,4,88.12834000000001,4.4,86.85615999999999,4.3,0,1,1,1,0,1,1,1,1,1,1,1,0,8,6,2,100,347,74
Millennium Hilton New York One UN Plaza,https://www.tripadvisor.com/Hotel_Review-g60763-d209382-Reviews-Millennium_Hilton_New_York_One_UN_Plaza-New_York_City_New_York.html,"1,611",4.0,4,87.71004599999999,4.4,84.37796,4.2,0,0,1,1,0,0,1,1,1,1,1,1,0,12,15,-3,100,127,23
The Pearl Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d1888977-Reviews-The_Pearl_Hotel-New_York_City_New_York.html,"2,760",4.5,4,97.98742000000001,4.9,96.400814,4.8,1,0,1,1,0,1,1,1,0,1,1,1,0,8,0,8,100,518,217
Radio Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d24096596-Reviews-Radio_Hotel-New_York_City_New_York.html,10,4.0,4,100,5.0,100,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,77,156,11
The Westin New York at Times Square,https://www.tripadvisor.com/Hotel_Review-g60763-d249712-Reviews-The_Westin_New_York_at_Times_Square-New_York_City_New_York.html,"3,987",4.0,4,94.837884,4.7,89.32159999999999,4.5,1,0,1,0,0,1,1,1,1,1,1,1,0,14,3,11,100,499,239
The Marmara Park Avenue,https://www.tripadvisor.com/Hotel_Review-g60763-d6610567-Reviews-The_Marmara_Park_Avenue-New_York_City_New_York.html,470,4.5,4,93.33332999999999,4.7,91.83673999999999,4.6,0,1,1,1,0,0,1,0,0,1,1,1,0,11,3,8,100,364,58
The Historic Blue Moon Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d23715063-Reviews-The_Historic_Blue_Moon_Hotel-New_York_City_New_York.html,84,4.5,4,100,5.0,93.75,4.7,1,0,0,0,0,0,1,1,1,0,0,0,1,14,3,11,100,358,112
OYO Times Square,https://www.tripadvisor.com/Hotel_Review-g60763-d93376-Reviews-OYO_Times_Square-New_York_City_New_York.html,"5,503",3.5,4,94.00582,4.7,79.832768,4.0,1,1,0,1,0,0,1,1,0,1,1,1,0,9,3,6,100,468,258
"InterContinental New York Barclay, an IHG Hotel",https://www.tripadvisor.com/Hotel_Review-g60763-d93462-Reviews-InterContinental_New_York_Barclay_an_IHG_Hotel-New_York_City_New_York.html,"2,629",4.5,4,95.46557999999999,4.8,92.78008,4.6,0,0,1,1,1,0,1,1,1,1,1,1,0,7,5,2,100,381,75
DoubleTree by Hilton New York Downtown,https://www.tripadvisor.com/Hotel_Review-g60763-d1858923-Reviews-DoubleTree_by_Hilton_New_York_Downtown-New_York_City_New_York.html,"3,306",3.5,4,84.992494,4.2,81.45098000000002,4.1,1,0,1,1,0,1,1,1,0,1,1,1,0,6,2,4,100,178,60
Executive Hotel Le Soleil New York,https://www.tripadvisor.com/Hotel_Review-g60763-d7816364-Reviews-Executive_Hotel_Le_Soleil_New_York-New_York_City_New_York.html,"2,469",4.5,4,96.60579999999999,4.8,92.535992,4.6,1,1,1,1,0,0,1,1,0,1,1,1,0,9,0,9,100,477,126
The Westin New York Grand Central,https://www.tripadvisor.com/Hotel_Review-g60763-d93593-Reviews-The_Westin_New_York_Grand_Central-New_York_City_New_York.html,"5,397",4.0,4,92.58922,4.6,88.64018,4.4,0,0,1,1,0,1,1,1,1,1,1,1,0,9,2,7,100,281,48
The Time New York,https://www.tripadvisor.com/Hotel_Review-g60763-d112062-Reviews-The_Time_New_York-New_York_City_New_York.html,"1,701",4.5,4,97.28,4.9,92.45902,4.6,0,1,1,1,1,0,1,1,0,1,1,1,0,9,0,9,100,512,221
Walker Hotel Greenwich Village,https://www.tripadvisor.com/Hotel_Review-g60763-d3522780-Reviews-Walker_Hotel_Greenwich_Village-New_York_City_New_York.html,"1,654",4.5,4,95.50191,4.8,92.27092,4.6,1,1,0,1,0,0,1,1,0,1,1,1,0,9,0,9,100,287,75
