Number of reviews,Tripadvisor rating,Location rating,Cleanliness rating,Service rating,Value of money,Paid private parking nearby,Free high speed wifi,Fitness_center,Air conditioning,Minibar,Cable satellite TV,24-hour front desk,Non-smoking hotel,Express check-in / check-out,Baggage storage,Housekeeping,Safe,Family rooms,Count good words,Count bad words,Count total words,Great for walkers,Number of restaurants,Num of attractions
"5,503",3.5,94.00582,4.7,79.832768,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,9.0,3.0,6.0,100.0,468.0,258.0
"2,469",4.5,96.6058,4.8,92.53599200000001,4.6,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,9.0,0.0,9.0,100.0,477.0,126.0
"1,701",4.5,97.28,4.9,92.45902,4.6,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,9.0,0.0,9.0,100.0,512.0,221.0
"1,654",4.5,95.50191,4.8,92.27091999999999,4.6,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,9.0,0.0,9.0,100.0,287.0,75.0
"2,939",4.5,95.36816,4.8,90.98237,4.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,10.0,100.0,398.0,105.0
"4,350",4.5,95.06073,4.8,90.82706,4.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,3.0,2.0,100.0,244.0,72.0
"2,638",4.0,91.79272,4.6,89.71319199999998,4.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,19.0,5.0,14.0,100.0,249.0,82.0
"6,596",4.5,91.236152,4.6,92.52096,4.6,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,2.0,12.0,100.0,379.0,151.0
384,4.0,93.142852,4.7,83.58208599999998,4.2,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7.0,1.0,6.0,100.0,365.0,140.0
"1,342",4.5,94.37750799999999,4.7,91.10221,4.6,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.0,0.0,10.0,100.0,406.0,144.0
"1,156",4.5,93.93547999999998,4.7,96.57895,4.8,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,12.0,1.0,11.0,100.0,417.0,136.0
"8,420",4.0,92.86641999999999,4.6,80.7703,4.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,100.0,358.0,98.0
780,4.0,89.38547200000002,4.5,88.94878,4.4,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,10.0,1.0,9.0,100.0,411.0,164.0
"1,658",4.0,88.20045400000001,4.4,80.74889999999998,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,10.0,2.0,8.0,100.0,105.0,49.0
"3,185",4.5,98.43791999999999,4.9,92.90944,4.6,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,2.0,7.0,100.0,378.0,146.0
"1,958",4.0,95.90535200000001,4.8,86.69314,4.3,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,12.0,100.0,407.0,116.0
"2,580",4.0,95.68,4.8,88.134794,4.4,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,10.0,0.0,10.0,100.0,508.0,223.0
"3,768",4.0,93.84029999999998,4.7,86.50944000000001,4.3,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,11.0,0.0,11.0,100.0,441.0,119.0
120,4.5,94.16667,4.7,92.5,4.6,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,8.0,2.0,6.0,100.0,209.0,126.0
"5,101",4.0,89.77550000000002,4.5,89.252214,4.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,8.0,2.0,6.0,100.0,337.0,69.0
892,4.0,90.810814,4.5,89.76744599999999,4.5,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,11.0,2.0,9.0,100.0,420.0,93.0
"1,489",4.0,95.46762,4.8,82.47058799999998,4.1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,11.0,1.0,10.0,100.0,493.0,234.0
"2,411",4.0,89.921628,4.5,86.00588,4.3,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,20.0,2.0,18.0,100.0,246.0,60.0
"1,470",4.5,94.375,4.7,92.426472,4.6,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,11.0,1.0,10.0,100.0,371.0,137.0
211,4.5,96.235294,4.8,93.25444,4.7,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,17.0,1.0,16.0,100.0,343.0,99.0
709,4.5,85.08021400000001,4.3,93.64078,4.7,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,9.0,1.0,8.0,100.0,274.0,57.0
"2,367",4.5,95.82988,4.8,92.9724,4.6,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,0.0,7.0,100.0,373.0,69.0
"1,793",4.5,96.67304,4.8,90.35789399999999,4.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,0.0,14.0,100.0,448.0,120.0
876,4.5,95.7647,4.8,93.21663000000001,4.7,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,13.0,0.0,13.0,100.0,223.0,70.0
88,4.0,95.0,4.8,73.333334,3.7,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,13.0,1.0,12.0,100.0,361.0,123.0
"2,942",4.0,95.4172,4.8,89.502488,4.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,9.0,7.0,2.0,100.0,470.0,149.0
"1,296",3.5,88.92562,4.4,83.53931999999999,4.2,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,2.0,3.0,100.0,402.0,127.0
"1,771",4.0,91.58004,4.6,90.1769,4.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,2.0,7.0,100.0,340.0,43.0
"1,445",4.5,91.76724,4.6,93.75,4.7,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,6.0,-3.0,100.0,399.0,111.0
761,3.5,91.529932,4.6,76.186252,3.8,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,13.0,4.0,9.0,100.0,115.0,40.0
946,4.5,92.776412,4.6,92.494174,4.6,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,9.0,0.0,9.0,100.0,151.0,49.0
443,4.0,90.12345400000001,4.5,86.829272,4.3,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,7.0,2.0,5.0,100.0,305.0,82.0
"2,201",4.5,93.38462,4.7,90.20548000000001,4.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,7.0,0.0,7.0,100.0,211.0,127.0
"3,072",4.5,92.7284,4.6,92.72258,4.6,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,7.0,1.0,6.0,100.0,271.0,48.0
"2,133",4.5,94.0055,4.7,92.6944,4.6,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,10.0,1.0,9.0,100.0,383.0,70.0
"1,059",4.0,95.38794,4.8,88.98662,4.4,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,8.0,5.0,3.0,100.0,430.0,214.0
"1,429",4.5,97.934428,4.9,94.96914,4.7,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,12.0,2.0,10.0,100.0,312.0,125.0
"2,602",4.0,93.242006,4.7,89.1178,4.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,12.0,100.0,470.0,125.0
235,4.0,78.333334,3.9,91.14754,4.6,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,0.0,9.0,100.0,113.0,21.0
"3,257",4.0,89.014874,4.5,87.5638,4.4,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,1.0,100.0,370.0,133.0
454,3.5,89.93102999999998,4.5,80.62016,4.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,4.0,-1.0,100.0,173.0,47.0
322,3.5,83.97590600000001,4.2,71.666666,3.6,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,1.0,4.0,100.0,470.0,196.0
"1,518",4.0,96.17424,4.8,90.8077,4.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,6.0,0.0,6.0,100.0,327.0,79.0
933,4.5,91.2,4.6,97.24638,4.9,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,1.0,5.0,100.0,299.0,48.0
"3,098",4.0,94.20792,4.7,89.43226800000001,4.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,17.0,0.0,17.0,100.0,483.0,126.0
"1,830",4.0,92.16237,4.6,89.250764,4.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.0,1.0,9.0,100.0,199.0,104.0
"1,065",4.5,91.906252,4.6,89.51486600000001,4.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,6.0,2.0,4.0,100.0,383.0,116.0
510,4.0,97.078648,4.9,86.66667000000002,4.3,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,6.0,0.0,6.0,100.0,507.0,207.0
"2,442",4.0,89.05490800000003,4.5,88.18262000000001,4.4,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.0,2.0,8.0,100.0,368.0,144.0
"2,102",4.0,91.154174,4.6,86.98464,4.3,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,2.0,4.0,100.0,368.0,131.0
"1,602",3.5,85.3112,4.3,81.72680799999999,4.1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,2.0,2.0,100.0,124.0,15.0
"1,980",4.0,87.56598000000001,4.4,84.864092,4.2,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,9.0,6.0,3.0,100.0,211.0,111.0
"1,542",4.5,92.175646,4.6,95.801106,4.8,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7.0,0.0,7.0,100.0,300.0,88.0
"1,449",4.5,95.238094,4.8,96.9131,4.8,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,12.0,0.0,12.0,100.0,486.0,259.0
"2,361",4.5,94.70395,4.7,91.668052,4.6,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0,0.0,8.0,100.0,329.0,83.0
"1,942",4.5,97.461186,4.9,95.13135,4.8,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,1.0,5.0,100.0,177.0,74.0
"1,734",4.0,95.06494,4.8,89.56140599999998,4.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,12.0,2.0,10.0,100.0,457.0,120.0
744,4.5,95.20911999999998,4.8,95.18518,4.8,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,4.0,0.0,100.0,256.0,85.0
"2,639",4.0,95.19422,4.8,86.5445,4.3,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,5.0,100.0,429.0,197.0
"2,717",4.0,86.95585200000001,4.3,86.88672,4.3,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,11.0,2.0,9.0,100.0,376.0,149.0
277,3.5,87.547168,4.4,71.63636,3.6,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,10.0,3.0,7.0,100.0,281.0,75.0
"2,941",4.5,95.240794,4.8,96.604414,4.8,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,17.0,0.0,17.0,100.0,429.0,120.0
"5,027",4.5,97.6438,4.9,94.91534,4.7,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,8.0,1.0,7.0,100.0,429.0,205.0
"1,439",4.5,97.07586,4.9,96.28922,4.8,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,8.0,0.0,8.0,100.0,441.0,209.0
"2,486",4.5,91.246634,4.6,91.099654,4.6,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,7.0,100.0,178.0,60.0
"1,099",4.5,91.03734,4.6,91.8868,4.6,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,8.0,100.0,362.0,115.0
"3,134",4.0,91.994668,4.6,81.784152,4.1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,15.0,4.0,11.0,100.0,448.0,121.0
92,4.5,94.73684,4.7,96.36364,4.8,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,10.0,2.0,8.0,100.0,229.0,74.0
82,4.0,90.0,4.5,86.66667000000002,4.3,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,12.0,4.0,8.0,100.0,329.0,76.0
"2,633",4.0,89.65566600000002,4.5,85.54285999999998,4.3,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,13.0,6.0,7.0,100.0,356.0,116.0
906,4.5,96.69492,4.8,92.98295,4.6,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,7.0,-5.0,100.0,424.0,123.0
839,4.0,90.727272,4.5,88.90484799999999,4.4,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,8.0,2.0,6.0,100.0,153.0,49.0
"1,978",4.5,93.59886,4.7,90.46284,4.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7.0,3.0,4.0,100.0,324.0,71.0
303,4.0,89.15422,4.5,87.87879000000002,4.4,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,3.0,2.0,100.0,258.0,63.0
"3,694",4.5,97.29996,4.9,94.129172,4.7,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,0.0,100.0,291.0,92.0
793,4.5,96.8,4.8,92.64,4.6,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,7.0,4.0,3.0,100.0,337.0,92.0
"2,539",4.0,89.13793999999999,4.5,89.38454,4.5,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,11.0,1.0,10.0,100.0,370.0,116.0
"2,400",4.0,91.420088,4.6,89.91936000000003,4.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,9.0,2.0,7.0,100.0,313.0,100.0
389,3.5,81.91617000000002,4.1,72.33533,3.6,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,1.0,4.0,100.0,246.0,56.0
287,4.0,92.307692,4.6,84.70588599999998,4.2,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,10.0,7.0,3.0,100.0,187.0,62.0
503,4.0,73.60000000000002,3.7,90.42424,4.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,1.0,4.0,100.0,172.0,37.0
"2,420",5.0,98.769532,4.9,97.051792,4.9,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,2.0,4.0,100.0,340.0,115.0
"2,460",4.5,97.832308,4.9,94.570532,4.7,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7.0,4.0,3.0,100.0,276.0,81.0
885,4.5,92.83185999999999,4.6,94.849786,4.7,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,1.0,4.0,100.0,347.0,176.0
860,5.0,99.33014,5.0,97.12329,4.9,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,10.0,0.0,10.0,100.0,229.0,100.0
"1,147",4.0,88.335828,4.4,88.23195999999999,4.4,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,2.0,7.0,100.0,261.0,64.0
716,4.0,91.34986,4.6,83.46591000000002,4.2,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0,2.0,6.0,100.0,392.0,116.0
212,4.5,97.77778,4.9,85.0,4.3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,1.0,14.0,100.0,262.0,92.0
265,4.0,85.77778,4.3,80.930234,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0,100.0,383.0,196.0
629,4.0,90.266666,4.5,85.16779,4.3,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,100.0,372.0,169.0
"1,489",4.0,90.918,4.5,89.0932,4.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,7.0,3.0,4.0,100.0,467.0,123.0
680,5.0,98.518514,4.9,97.70833,4.9,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,0.0,9.0,100.0,370.0,207.0
"1,890",4.5,97.290048,4.9,94.64986,4.7,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,4.0,-2.0,100.0,319.0,93.0
"1,445",4.5,95.215,4.8,89.98967999999998,4.5,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,13.0,0.0,13.0,100.0,389.0,59.0
"1,396",4.0,87.50728000000002,4.4,88.829174,4.4,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,8.0,0.0,8.0,100.0,140.0,25.0
558,4.0,94.55696,4.7,90.41915999999999,4.5,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,3.0,2.0,100.0,426.0,89.0
"2,440",4.5,96.29335999999999,4.8,95.43415,4.8,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,0.0,5.0,100.0,164.0,81.0
"1,107",4.5,95.85061999999999,4.8,96.85606,4.8,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,0.0,5.0,100.0,60.0,42.0
954,4.0,92.9385,4.6,83.122168,4.2,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,6.0,100.0,184.0,44.0
"1,667",4.0,95.360708,4.8,88.87745000000002,4.4,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,10.0,2.0,8.0,100.0,482.0,159.0
905,5.0,96.84444,4.8,97.47899,4.9,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,14.0,0.0,14.0,100.0,307.0,240.0
739,4.5,93.84224,4.7,97.55844,4.9,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,11.0,1.0,10.0,100.0,313.0,94.0
